Student_ID,Name,Gender,Age,Grade_Level,Region,Country,School_Name,Mode,Course_ID,Course_Name,AI_Tool_Used,AI_Assistance_Level,Study_Hours,Video_Watched,Assignments_Submitted,Attendance_%,Quiz_Score,Assignment_Score,Exam_Score,Previous_Score,Discussion_Posts,Feedback_Sentiment,Satisfaction_Rating,Dropout_Risk,Recommendation_Count,AI_Feedback_Score,Accuracy_Score,Instructor_ID,Instructor_Experience,AI_Tool_Proficiency,Date,Semester,Academic_Year,Final_Score,Improvement_%,Performance_Category,Quiz_Score_num,Assignment_Score_num,Exam_Score_num,Previous_Score_num,AI_Feedback_Score_num,Accuracy_Score_num,Final_Score_num,PctScore,Study_Hours_num
S10015,Riya,M,19,B.Tech 1st Year,Pune,India,IIT Hyderabad,AI,C215,AI Fundamentals,Coursera AI Tutor,98,8,16,8,96,64,96,80,60,15,Positive,9,High,19,82,94,I115,3,96,22-03-2025,1,2023,80,33.33,High,70.4,105.60000000000001,88.0,66.0,90.2,103.4,88.0,89.76,8
S10016,Vikram,F,22,B.Tech 4th Year,Mumbai,India,JNTU,AI,C216,Data Science,Khanmigo,78,12,21,5,69,93,66,80,61,15,Positive,9,High,16,67,65,I116,9,86,14-01-2024,1,2024,79.67,30.61,Average,102.30000000000001,72.60000000000001,88.0,67.10000000000001,73.7,71.5,87.63700000000001,86.24000000000001,12
S10017,Neha,F,24,B.Tech 3rd Year,Bangalore,India,VIT,AI,C217,Machine Learning,ChatGPT,46,11,19,7,84,93,82,64,64,5,Positive,9,Medium,7,89,69,I117,5,87,03-06-2025,2,2024,79.67,24.48,Average,102.30000000000001,90.2,70.4,70.4,97.9,75.9,87.63700000000001,82.72000000000001,11
S10018,Ananya,F,22,B.Tech 1st Year,Hyderabad,India,VIT,Traditional,C218,Python Programming,Khanmigo,55,18,8,6,97,60,62,50,51,19,Positive,7,Medium,9,95,60,I118,9,97,20-03-2024,1,2025,57.33,12.41,Average,60.0,62.0,50.0,51.0,95.0,60.0,57.33,55.6,18
S10019,Riya,M,22,B.Tech 4th Year,Bangalore,India,SRM,AI,C219,Data Science,Coursera AI Tutor,99,10,9,7,69,58,57,57,41,5,Negative,9,High,19,84,79,I119,12,75,12-04-2025,1,2023,57.33,39.83,Average,63.800000000000004,62.7,62.7,45.1,92.4,86.9,63.063,62.92000000000001,10
S10020,Kiran,F,18,B.Tech 1st Year,Chennai,India,IIT Hyderabad,Traditional,C220,Python Programming,Coursera AI Tutor,67,6,18,8,97,52,81,74,69,9,Positive,5,High,5,64,62,I120,2,74,10-12-2025,1,2023,69,0.0,Average,52.0,81.0,74.0,69.0,64.0,62.0,69.0,71.7,6
S10021,Riya,M,24,B.Tech 2nd Year,Pune,India,SRM,AI,C221,Machine Learning,Khanmigo,97,9,10,9,79,81,75,97,46,8,Neutral,6,High,8,92,84,I121,14,82,08-10-2025,2,2024,84.33,83.33,High,89.10000000000001,82.5,106.7,50.6,101.2,92.4,92.763,95.92000000000002,9
S10022,Riya,F,20,B.Tech 4th Year,Chennai,India,SRM,Traditional,C222,Machine Learning,Khanmigo,74,17,10,9,68,83,55,75,76,7,Positive,8,Low,5,97,98,I122,5,84,29-05-2025,1,2024,71,-6.58,Average,83.0,55.0,75.0,76.0,97.0,98.0,71.0,70.6,17
S10023,Neha,F,22,B.Tech 3rd Year,Bangalore,India,JNTU,AI,C223,AI Fundamentals,Khanmigo,54,16,23,5,62,53,61,73,57,19,Positive,7,Low,17,92,79,I123,9,91,22-12-2025,1,2024,62.33,9.35,Average,58.300000000000004,67.10000000000001,80.30000000000001,62.7,101.2,86.9,68.563,71.94000000000001,16
S10024,Isha,F,23,B.Tech 3rd Year,Bangalore,India,SRM,AI,C224,Python Programming,EdX Bot,46,6,27,5,70,78,57,84,57,14,Positive,7,Medium,11,89,95,I124,10,98,03-12-2023,1,2025,73,28.07,Average,85.80000000000001,62.7,92.4,62.7,97.9,104.50000000000001,80.30000000000001,82.17000000000002,6
S10025,Ananya,F,18,B.Tech 2nd Year,Chennai,India,SRM,Traditional,C225,Cloud Basics,Google Classroom AI,74,10,28,7,63,97,78,68,67,16,Neutral,7,High,19,72,91,I125,9,88,28-09-2025,1,2025,81,20.9,High,97.0,78.0,68.0,67.0,72.0,91.0,81.0,76.8,10
S10026,Vikram,F,19,B.Tech 1st Year,Pune,India,IIT Hyderabad,Traditional,C226,AI Fundamentals,Khanmigo,87,13,5,7,87,96,69,61,87,15,Positive,6,Low,13,72,74,I126,7,60,17-09-2024,2,2025,75.33,-13.41,Average,96.0,69.0,61.0,87.0,72.0,74.0,75.33,70.4,13
S10027,Vikram,F,22,B.Tech 1st Year,Pune,India,IIT Hyderabad,AI,C227,Python Programming,Khanmigo,70,13,13,6,97,64,94,62,73,5,Positive,6,Low,8,65,98,I127,5,99,01-07-2023,1,2024,73.33,0.45,Average,70.4,103.4,68.2,80.30000000000001,71.5,107.80000000000001,80.66300000000001,79.2,13
S10028,Rohit,F,22,B.Tech 3rd Year,Bangalore,India,IIT Hyderabad,AI,C228,Python Programming,Google Classroom AI,77,10,26,8,70,60,62,65,47,18,Positive,9,High,17,82,60,I128,10,61,29-08-2025,1,2025,62.33,32.62,Average,66.0,68.2,71.5,51.7,90.2,66.0,68.563,69.41000000000001,10
S10029,Neha,F,18,B.Tech 1st Year,Pune,India,SRM,AI,C229,Machine Learning,ChatGPT,47,8,5,7,91,91,94,78,58,17,Neutral,8,Medium,17,88,98,I129,5,65,18-06-2023,1,2023,87.67,51.16,High,100.10000000000001,103.4,85.80000000000001,63.800000000000004,96.80000000000001,107.80000000000001,96.43700000000001,93.94000000000001,8
S10030,Dev,M,20,B.Tech 4th Year,Delhi,India,IIT Hyderabad,AI,C230,Machine Learning,EdX Bot,87,14,29,7,77,86,57,59,45,0,Neutral,5,Medium,10,75,87,I130,9,61,26-03-2023,2,2024,67.33,49.62,Average,94.60000000000001,62.7,64.9,49.50000000000001,82.5,95.7,74.063,70.18,14
S10031,Rohit,M,23,B.Tech 4th Year,Pune,India,IIT Hyderabad,Traditional,C231,Python Programming,EdX Bot,95,16,8,5,99,98,67,98,84,1,Positive,8,Medium,7,78,88,I131,3,64,07-07-2023,1,2024,87.67,4.37,High,98.0,67.0,98.0,84.0,78.0,88.0,87.67,88.7,16
S10032,Vikram,F,19,B.Tech 3rd Year,Chennai,India,BITS Pilani,AI,C232,Machine Learning,ChatGPT,77,13,29,8,78,96,75,81,46,2,Positive,5,Medium,17,62,91,I132,4,77,21-06-2025,2,2025,84,82.61,High,105.60000000000001,82.5,89.10000000000001,50.6,68.2,100.10000000000001,92.4,90.42000000000002,13
S10033,Ananya,F,22,B.Tech 4th Year,Mumbai,India,BITS Pilani,AI,C233,Python Programming,Google Classroom AI,55,9,20,5,75,59,69,99,59,17,Positive,8,Low,15,95,60,I133,12,72,03-02-2023,1,2024,75.67,28.25,Average,64.9,75.9,108.9,64.9,104.50000000000001,66.0,83.23700000000001,90.2,9
S10034,Ananya,F,20,B.Tech 3rd Year,Chennai,India,VIT,AI,C234,Python Programming,Google Classroom AI,73,12,9,6,62,64,82,67,63,12,Negative,8,Medium,16,67,67,I134,9,73,14-12-2024,2,2025,71,12.7,Average,70.4,90.2,73.7,69.30000000000001,73.7,73.7,78.10000000000001,77.99000000000001,12
S10035,Rohit,M,24,B.Tech 1st Year,Hyderabad,India,JNTU,AI,C235,AI Fundamentals,Coursera AI Tutor,40,16,20,7,72,60,57,97,68,2,Positive,8,Low,8,90,93,I135,5,80,10-12-2023,1,2023,71.33,4.9,Average,66.0,62.7,106.7,74.80000000000001,99.00000000000001,102.30000000000001,78.46300000000001,85.36,16
S10036,Isha,F,23,B.Tech 1st Year,Delhi,India,JNTU,Traditional,C236,AI Fundamentals,Google Classroom AI,58,13,26,7,96,98,97,60,67,18,Positive,6,Low,9,61,62,I136,9,77,06-12-2024,1,2024,85,26.87,High,98.0,97.0,60.0,67.0,61.0,62.0,85.0,78.7,13
S10037,Riya,M,24,B.Tech 1st Year,Mumbai,India,IIT Hyderabad,Traditional,C237,Cloud Basics,EdX Bot,53,9,18,7,89,93,61,56,44,12,Neutral,6,Medium,7,70,98,I137,6,73,03-04-2023,2,2024,70,59.09,Average,93.0,61.0,56.0,44.0,70.0,98.0,70.0,64.9,9
S10038,Vikram,M,23,B.Tech 2nd Year,Bangalore,India,VIT,AI,C238,AI Fundamentals,Coursera AI Tutor,58,10,13,9,73,59,51,73,56,16,Neutral,8,Low,11,75,84,I138,14,96,31-10-2024,2,2023,61,8.93,Average,64.9,56.1,80.30000000000001,61.60000000000001,82.5,92.4,67.10000000000001,69.96000000000001,10
S10039,Isha,M,19,B.Tech 3rd Year,Hyderabad,India,VIT,AI,C239,Data Science,Khanmigo,62,8,18,8,95,65,65,61,75,10,Positive,7,Low,9,84,69,I139,6,96,16-02-2024,1,2023,63.67,-15.11,Average,71.5,71.5,67.10000000000001,82.5,92.4,75.9,70.037,69.30000000000001,8
S10040,Meera,M,21,B.Tech 4th Year,Hyderabad,India,BITS Pilani,AI,C240,Data Science,Khanmigo,43,16,20,5,65,72,99,65,72,9,Positive,8,Medium,14,97,75,I140,4,67,01-10-2025,2,2025,78.67,9.26,Average,79.2,108.9,71.5,79.2,106.7,82.5,86.537,84.26,16
S10041,Riya,M,23,B.Tech 1st Year,Delhi,India,VIT,Traditional,C241,Machine Learning,Khanmigo,73,5,10,5,91,60,92,60,45,4,Negative,9,High,8,81,72,I141,14,99,08-05-2025,1,2023,70.67,57.04,Average,60.0,92.0,60.0,45.0,81.0,72.0,70.67,69.6,5
S10042,Rohit,F,21,B.Tech 2nd Year,Mumbai,India,SRM,AI,C242,Data Science,Coursera AI Tutor,41,5,21,5,99,54,92,79,77,3,Positive,9,Low,7,62,69,I142,11,79,17-07-2025,1,2025,75,-2.6,Average,59.400000000000006,101.2,86.9,84.7,68.2,75.9,82.5,85.69000000000001,5
S10043,Neha,F,24,B.Tech 4th Year,Hyderabad,India,IIT Hyderabad,AI,C243,AI Fundamentals,EdX Bot,51,9,5,6,91,63,86,82,42,17,Positive,7,Low,16,65,92,I143,9,87,05-03-2024,1,2024,77,83.33,Average,69.30000000000001,94.60000000000001,90.2,46.2,71.5,101.2,84.7,87.34000000000002,9
S10044,Dev,F,23,B.Tech 4th Year,Mumbai,India,SRM,AI,C244,Cloud Basics,Google Classroom AI,62,7,22,9,71,91,60,82,49,1,Negative,8,Low,5,99,98,I144,11,97,08-11-2023,2,2024,77.67,58.51,Average,100.10000000000001,66.0,90.2,53.900000000000006,108.9,107.80000000000001,85.43700000000001,84.92000000000002,7
S10045,Kiran,F,19,B.Tech 4th Year,Mumbai,India,JNTU,Traditional,C245,Python Programming,Coursera AI Tutor,95,11,15,6,98,72,66,54,50,2,Positive,7,Medium,11,71,65,I145,5,65,02-08-2023,1,2025,64,28.0,Average,72.0,66.0,54.0,50.0,71.0,65.0,64.0,61.2,11
S10046,Aarav,F,18,B.Tech 1st Year,Pune,India,BITS Pilani,Traditional,C246,Cloud Basics,EdX Bot,82,17,15,8,84,98,93,66,62,6,Neutral,6,Medium,11,84,64,I146,13,73,29-04-2024,1,2023,85.67,38.18,High,98.0,93.0,66.0,62.0,84.0,64.0,85.67,80.5,17
S10047,Kiran,M,19,B.Tech 4th Year,Hyderabad,India,SRM,AI,C247,AI Fundamentals,Google Classroom AI,92,8,16,5,84,70,79,83,85,7,Positive,7,Medium,19,98,60,I147,7,65,22-03-2023,1,2025,77.33,-9.02,Average,77.0,86.9,91.30000000000001,93.50000000000001,107.80000000000001,66.0,85.063,87.12,8
S10048,Neha,F,19,B.Tech 3rd Year,Mumbai,India,IIT Hyderabad,AI,C248,AI Fundamentals,ChatGPT,57,8,6,5,67,80,93,65,43,16,Neutral,7,Medium,19,74,98,I148,4,90,26-11-2025,1,2025,79.33,84.49,Average,88.0,102.30000000000001,71.5,47.300000000000004,81.4,107.80000000000001,87.263,84.04,8
S10049,Meera,F,18,B.Tech 2nd Year,Delhi,India,SRM,Traditional,C249,AI Fundamentals,EdX Bot,71,8,20,5,94,62,57,94,46,0,Positive,9,Low,6,85,87,I149,12,67,04-12-2024,2,2023,71,54.35,Average,62.0,57.0,94.0,46.0,85.0,87.0,71.0,76.5,8
S10050,Rohit,M,18,B.Tech 4th Year,Hyderabad,India,SRM,AI,C250,Machine Learning,ChatGPT,90,10,26,7,65,73,72,98,65,10,Neutral,9,Low,9,72,63,I150,12,85,21-04-2025,1,2023,81,24.62,High,80.30000000000001,79.2,107.80000000000001,71.5,79.2,69.30000000000001,89.10000000000001,93.72000000000001,10
S10051,Meera,F,20,B.Tech 4th Year,Delhi,India,VIT,AI,C251,Data Science,Khanmigo,56,13,14,7,63,68,59,58,81,13,Positive,5,Medium,13,89,93,I151,9,65,31-12-2023,1,2025,61.67,-23.86,Average,74.80000000000001,64.9,63.800000000000004,89.10000000000001,97.9,102.30000000000001,67.837,66.33,13
S10052,Kiran,M,23,B.Tech 3rd Year,Delhi,India,BITS Pilani,Traditional,C252,AI Fundamentals,Khanmigo,70,16,25,5,94,99,55,81,72,19,Positive,5,Low,11,99,96,I152,3,73,23-09-2023,1,2023,78.33,8.79,Average,99.0,55.0,81.0,72.0,99.0,96.0,78.33,76.8,16
S10053,Isha,F,24,B.Tech 4th Year,Mumbai,India,JNTU,Traditional,C253,Python Programming,EdX Bot,97,16,18,5,85,99,50,85,80,8,Neutral,6,High,13,67,61,I153,7,92,31-12-2024,1,2024,78,-2.5,Average,99.0,50.0,85.0,80.0,67.0,61.0,78.0,77.3,16
S10054,Neha,M,20,B.Tech 1st Year,Mumbai,India,IIT Hyderabad,Traditional,C254,Data Science,ChatGPT,75,17,11,7,90,53,60,76,81,1,Negative,7,Low,12,73,87,I154,13,99,24-06-2025,1,2024,63,-22.22,Average,53.0,60.0,76.0,81.0,73.0,87.0,63.0,66.6,17
S10055,Aarav,F,18,B.Tech 1st Year,Pune,India,IIT Hyderabad,AI,C255,Data Science,Coursera AI Tutor,94,13,12,6,80,56,90,95,74,18,Positive,9,Low,6,64,62,I155,9,98,27-03-2024,2,2025,80.33,8.55,High,61.60000000000001,99.00000000000001,104.50000000000001,81.4,70.4,68.2,88.363,94.27000000000001,13
S10056,Ananya,F,21,B.Tech 1st Year,Pune,India,JNTU,AI,C256,Machine Learning,Google Classroom AI,65,17,14,9,83,67,72,97,67,1,Neutral,7,Low,18,92,85,I156,11,83,31-12-2024,1,2025,78.67,17.42,Average,73.7,79.2,106.7,73.7,101.2,93.50000000000001,86.537,91.85000000000001,17
S10057,Riya,M,24,B.Tech 4th Year,Hyderabad,India,IIT Hyderabad,AI,C257,Cloud Basics,Khanmigo,51,15,14,6,69,94,52,94,80,15,Positive,5,Low,14,96,67,I157,3,87,27-04-2023,1,2024,80,0.0,High,103.4,57.2,103.4,88.0,105.60000000000001,73.7,88.0,89.54000000000002,15
S10058,Aarav,M,21,B.Tech 2nd Year,Pune,India,VIT,Traditional,C258,Data Science,Khanmigo,96,9,14,9,66,88,63,79,89,14,Negative,7,Low,5,74,82,I158,6,95,10-01-2024,1,2025,76.67,-13.85,Average,88.0,63.0,79.0,89.0,74.0,82.0,76.67,76.0,9
S10059,Rohit,M,19,B.Tech 2nd Year,Bangalore,India,SRM,Traditional,C259,Data Science,Khanmigo,74,17,18,7,85,74,62,64,74,11,Neutral,7,Low,7,92,78,I159,2,84,07-06-2023,2,2024,66.67,-9.91,Average,74.0,62.0,64.0,74.0,92.0,78.0,66.67,65.4,17
S10060,Riya,M,22,B.Tech 4th Year,Hyderabad,India,VIT,Traditional,C260,AI Fundamentals,Khanmigo,55,15,23,5,87,61,69,76,78,3,Positive,9,Low,17,68,99,I160,9,80,26-04-2025,1,2023,68.67,-11.96,Average,61.0,69.0,76.0,78.0,68.0,99.0,68.67,70.9,15
S10061,Vikram,M,19,B.Tech 2nd Year,Delhi,India,VIT,Traditional,C261,Python Programming,EdX Bot,43,17,13,5,61,66,84,71,55,6,Positive,7,High,7,67,62,I161,9,81,20-02-2023,2,2024,73.67,33.95,Average,66.0,84.0,71.0,55.0,67.0,62.0,73.67,73.9,17
S10062,Ananya,M,19,B.Tech 2nd Year,Pune,India,VIT,Traditional,C262,AI Fundamentals,EdX Bot,67,12,21,5,73,57,98,71,49,10,Neutral,9,Medium,12,73,86,I162,11,81,29-05-2024,1,2024,75.33,53.73,Average,57.0,98.0,71.0,49.0,73.0,86.0,75.33,76.3,12
S10063,Meera,M,22,B.Tech 4th Year,Pune,India,JNTU,AI,C263,Python Programming,ChatGPT,77,8,23,6,66,52,64,73,46,15,Neutral,5,Low,10,87,72,I163,8,66,03-05-2025,2,2025,63,36.96,Average,57.2,70.4,80.30000000000001,50.6,95.7,79.2,69.30000000000001,72.71,8
S10064,Kiran,M,23,B.Tech 1st Year,Pune,India,BITS Pilani,AI,C264,Data Science,Coursera AI Tutor,72,16,6,5,76,94,54,63,46,18,Positive,8,Low,7,91,99,I164,3,74,31-03-2025,2,2023,70.33,52.89,Average,103.4,59.400000000000006,69.30000000000001,50.6,100.10000000000001,108.9,77.363,73.15,16
S10065,Vikram,F,18,B.Tech 4th Year,Mumbai,India,JNTU,AI,C265,Python Programming,ChatGPT,76,12,19,9,74,88,90,87,64,3,Neutral,5,High,10,80,95,I165,3,64,24-06-2023,2,2025,88.33,38.02,High,96.80000000000001,99.00000000000001,95.7,70.4,88.0,104.50000000000001,97.16300000000001,96.91,12
S10066,Ananya,F,21,B.Tech 1st Year,Delhi,India,JNTU,AI,C266,AI Fundamentals,Coursera AI Tutor,49,14,10,5,81,87,70,55,44,16,Negative,7,Medium,7,82,88,I166,2,97,03-08-2023,1,2025,70.67,60.61,Average,95.7,77.0,60.50000000000001,48.400000000000006,90.2,96.80000000000001,77.73700000000001,72.49000000000001,14
S10067,Meera,M,19,B.Tech 1st Year,Pune,India,VIT,AI,C267,AI Fundamentals,EdX Bot,70,19,20,7,91,80,98,94,65,9,Positive,5,Low,5,82,93,I167,9,84,03-04-2025,2,2024,90.67,39.49,High,88.0,107.80000000000001,103.4,71.5,90.2,102.30000000000001,99.73700000000001,101.64000000000001,19
S10068,Dev,F,22,B.Tech 2nd Year,Chennai,India,BITS Pilani,Traditional,C268,Cloud Basics,Khanmigo,53,13,21,5,85,84,95,66,69,14,Neutral,8,Low,15,80,60,I168,11,68,20-06-2024,2,2023,81.67,18.36,High,84.0,95.0,66.0,69.0,80.0,60.0,81.67,78.3,13
S10069,Kiran,F,20,B.Tech 2nd Year,Chennai,India,JNTU,AI,C269,Machine Learning,ChatGPT,44,16,28,6,82,99,86,77,50,7,Positive,7,Low,7,95,74,I169,5,62,12-01-2025,2,2023,87.33,74.66,High,108.9,94.60000000000001,84.7,55.00000000000001,104.50000000000001,81.4,96.063,92.51,16
S10070,Neha,F,19,B.Tech 1st Year,Delhi,India,BITS Pilani,Traditional,C270,Cloud Basics,Coursera AI Tutor,49,12,14,6,85,85,60,73,46,16,Neutral,7,Low,18,63,77,I170,7,62,25-03-2023,2,2024,72.67,57.98,Average,85.0,60.0,73.0,46.0,63.0,77.0,72.67,71.5,12
S10071,Neha,F,21,B.Tech 1st Year,Pune,India,VIT,Traditional,C271,Data Science,Google Classroom AI,64,12,16,7,83,97,56,94,78,10,Positive,7,Low,5,75,69,I171,12,83,12-05-2025,1,2025,82.33,5.55,High,97.0,56.0,94.0,78.0,75.0,69.0,82.33,83.2,12
S10072,Aarav,M,18,B.Tech 2nd Year,Bangalore,India,JNTU,AI,C272,Python Programming,Coursera AI Tutor,80,18,16,8,81,81,61,64,65,18,Positive,9,Low,5,85,65,I172,6,93,28-12-2023,1,2025,68.67,5.65,Average,89.10000000000001,67.10000000000001,70.4,71.5,93.50000000000001,71.5,75.537,73.15,18
S10073,Kiran,F,19,B.Tech 3rd Year,Bangalore,India,BITS Pilani,AI,C273,AI Fundamentals,ChatGPT,84,13,23,6,86,66,53,77,75,7,Positive,7,Low,19,94,70,I173,12,75,31-03-2024,1,2023,65.33,-12.89,Average,72.60000000000001,58.300000000000004,84.7,82.5,103.4,77.0,71.863,74.36,13
S10074,Riya,M,19,B.Tech 1st Year,Hyderabad,India,IIT Hyderabad,AI,C274,AI Fundamentals,EdX Bot,56,17,10,8,80,59,72,63,61,6,Positive,7,High,17,80,80,I174,14,94,03-02-2023,1,2025,64.67,6.02,Average,64.9,79.2,69.30000000000001,67.10000000000001,88.0,88.0,71.13700000000001,71.39000000000001,17
S10075,Isha,F,23,B.Tech 1st Year,Hyderabad,India,JNTU,AI,C275,AI Fundamentals,Khanmigo,90,14,6,7,96,94,75,60,51,6,Positive,7,Low,19,69,92,I175,10,68,07-05-2023,1,2025,76.33,49.67,Average,103.4,82.5,66.0,56.1,75.9,101.2,83.96300000000001,78.43,14
S10076,Neha,F,22,B.Tech 1st Year,Pune,India,JNTU,AI,C276,AI Fundamentals,Google Classroom AI,59,18,25,5,67,72,97,50,61,12,Positive,7,Low,16,61,72,I176,6,93,13-10-2023,2,2024,73,19.67,Average,79.2,106.7,55.00000000000001,67.10000000000001,67.10000000000001,79.2,80.30000000000001,75.35000000000001,18
S10077,Ananya,F,20,B.Tech 2nd Year,Hyderabad,India,JNTU,Traditional,C277,Data Science,ChatGPT,99,12,22,8,73,52,51,66,41,2,Neutral,7,Low,16,72,98,I177,7,98,03-06-2023,1,2023,56.33,37.39,Average,52.0,51.0,66.0,41.0,72.0,98.0,56.33,58.7,12
S10078,Aarav,M,20,B.Tech 4th Year,Mumbai,India,BITS Pilani,Traditional,C278,Machine Learning,EdX Bot,72,8,11,7,61,62,65,93,79,11,Neutral,7,Low,10,94,69,I178,3,87,29-07-2024,1,2025,73.33,-7.18,Average,62.0,65.0,93.0,79.0,94.0,69.0,73.33,78.4,8
S10079,Rohit,F,24,B.Tech 1st Year,Bangalore,India,SRM,AI,C279,Cloud Basics,Coursera AI Tutor,48,18,9,8,66,83,83,74,51,0,Neutral,7,Low,14,83,73,I179,8,79,05-03-2023,2,2024,80,56.86,High,91.30000000000001,91.30000000000001,81.4,56.1,91.30000000000001,80.30000000000001,88.0,86.35000000000001,18
